page_id,url,city_name,postal_code,department,strategy,confidence,notes
96f1d8d7-3186-4db5-8688-88faf422fa15,"https://allo-electricien.pro/les-mesnuls","LES MESNULS",78490,78,ambiguous_postal,0,"Ambiguous: 9 cities with postal code 78490"
fef328a0-642b-464e-b08c-3c6f4b13a8a8,"https://allo-electricien.pro/lesches","LESCHES",77450,77,ambiguous_postal,0,"Ambiguous: 6 cities with postal code 77450"
16818d9f-f364-484a-90ca-f024b092d0f2,"https://allo-electricien.pro/louan-villegruis-fontaine","LOUAN-VILLEGRUIS-FONTAINE",77560,77,ambiguous_postal,0,"Ambiguous: 8 cities with postal code 77560"
3c6c8abc-6c22-4a08-98c9-6164b1e5a03b,"https://allo-electricien.pro/mareil-le-guyon","MAREIL-LE-GUYON",78490,78,ambiguous_postal,0,"Ambiguous: 9 cities with postal code 78490"
8a2a6b7a-011e-4fa6-93a2-b821717992ee,"https://allo-electricien.pro/marolles-en-brie","MAROLLES-EN-BRIE",77120,77,ambiguous_postal,0,"Ambiguous: 8 cities with postal code 77120"
96ffe162-67c4-4e24-9bc1-9a9a1f0a75d2,"https://allo-electricien.pro/mauchamps","MAUCHAMPS",91730,91,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 91730"
31412ee0-4d80-4710-9127-58fc15e56337,"https://allo-electricien.pro/melz-sur-seine","MELZ-SUR-SEINE",77171,77,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 77171"
6139fcc1-4fe1-4e0a-a2fd-80b866f1e8a5,"https://allo-electricien.pro/meru","MERU",60110,78,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 60110"
c711b084-25ab-4167-82a7-2016fc889a0c,"https://allo-electricien.pro/mortery","MORTERY",77160,77,ambiguous_postal,0,"Ambiguous: 6 cities with postal code 77160"
4eb93426-9729-4a66-907c-dd122849f023,"https://allo-electricien.pro/presles-en-brie","PRESLES-EN-BRIE",77220,77,ambiguous_postal,0,"Ambiguous: 4 cities with postal code 77220"
2f3ef6a6-e31e-407c-80fd-8c0cf7f2025b,"https://allo-electricien.pro/rochefort-en-yvelines","ROCHEFORT-EN-YVELINES",78730,78,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 78730"
942604b0-0e4b-4f22-b5b7-764d0cf6ffe3,"https://allo-electricien.pro/rumont","RUMONT",77760,77,ambiguous_postal,0,"Ambiguous: 13 cities with postal code 77760"
43c5a7db-9e66-415e-a09d-deed59ad3ce6,"https://allo-electricien.pro/saint-augustin","SAINT-AUGUSTIN",77515,77,ambiguous_postal,0,"Ambiguous: 4 cities with postal code 77515"
4790b519-6c1c-4367-af57-a984f357f3aa,"https://allo-electricien.pro/saint-fiacre","SAINT-FIACRE",77470,77,ambiguous_postal,0,"Ambiguous: 5 cities with postal code 77470"
bc3118c7-628b-4998-91cf-ccead2f3a8fe,"https://allo-electricien.pro/saint-germain-sous-doue","SAINT-GERMAIN-SOUS-DOUE",77169,77,ambiguous_postal,0,"Ambiguous: 3 cities with postal code 77169"
c7a5b250-5f3a-4a16-9411-85c8d8aa7b78,"https://allo-electricien.pro/sainte-mesme","SAINTE-MESME",78730,78,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 78730"
e30ac42c-caf2-4eec-863b-9ea4aee36402,"https://allo-electricien.pro/saintry-sur-seine","SAINTRY-SUR-SEINE",91250,91,ambiguous_postal,0,"Ambiguous: 3 cities with postal code 91250"
6c4c50f8-1fa0-4986-b33f-85d56b302e99,"https://allo-electricien.pro/sonchamp","SONCHAMP",78120,78,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 78120"
aae8c63c-9acc-4fd7-b146-6d010ca1b047,"https://allo-electricien.pro/sourdun","SOURDUN",77171,77,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 77171"
2365b9d9-26ac-4b46-8149-49a1bcc9674c,"https://allo-electricien.pro/tancrou","TANCROU",77440,77,ambiguous_postal,0,"Ambiguous: 10 cities with postal code 77440"
de347811-834b-466d-9348-5dd6f8f190b2,"https://allo-electricien.pro/vigny","VIGNY",95450,95,ambiguous_postal,0,"Ambiguous: 13 cities with postal code 95450"
c17dfc1c-002c-4b3c-8579-feb5284d1c00,"https://allo-electricien.pro/breteuil","BRETEUIL",60120,78,ambiguous_postal,0,"Ambiguous: 21 cities with postal code 60120"
d882c03a-9b4f-4741-87da-9aeb5e2993d1,"https://allo-electricien.pro/clermont","CLERMONT",60600,78,ambiguous_postal,0,"Ambiguous: 4 cities with postal code 60600"
a91ac135-3966-49ed-a135-760963545728,"https://allo-electricien.pro/crepy-en-valois","CREPY-EN-VALOIS",60800,93,ambiguous_postal,0,"Ambiguous: 8 cities with postal code 60800"
b9a831e5-c678-4849-8990-c8ae483a9b4e,"https://allo-electricien.pro/le-val-saint-germain","LE VAL-SAINT-GERMAIN",91530,91,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 91530"
917e1fb6-3e02-46b1-9ed3-1bf09e8ffeb6,"https://allo-electricien.pro/lumigny-nesles-ormeaux","LUMIGNY-NESLES-ORMEAUX",77540,77,ambiguous_postal,0,"Ambiguous: 5 cities with postal code 77540"
81e4068a-3deb-4ed1-b5a0-acb7080efbab,"https://allo-electricien.pro/montreuil-sur-epte","MONTREUIL-SUR-EPTE",95770,95,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 95770"
46b9c23a-9215-4dfd-80f9-c4906c5d9754,"https://allo-electricien.pro/oinville-sur-montcient","OINVILLE-SUR-MONTCIENT",78250,78,ambiguous_postal,0,"Ambiguous: 5 cities with postal code 78250"
19262c55-d2aa-4766-92af-a3bb9232175e,"https://allo-electricien.pro/rouvres","ROUVRES",77230,77,ambiguous_postal,0,"Ambiguous: 11 cities with postal code 77230"
7b48c05a-46ea-4591-8fb8-0cbdea590b6b,"https://allo-electricien.pro/saint-jean-de-beauregard","SAINT-JEAN-DE-BEAUREGARD",91940,91,ambiguous_postal,0,"Ambiguous: 2 cities with postal code 91940"
df4cd9c9-affc-45be-b748-caf5da6b4843,"https://allo-electricien.pro/souzy-la-briche","SOUZY-LA-BRICHE",91580,91,ambiguous_postal,0,"Ambiguous: 3 cities with postal code 91580"
203d47f9-362e-4624-ab66-5f949733d5bc,"https://allo-electricien.pro/varennes-sur-seine","VARENNES-SUR-SEINE",77130,77,ambiguous_postal,0,"Ambiguous: 9 cities with postal code 77130"
1627d14b-407e-412d-8372-0a61767fe243,"https://allo-electricien.pro/villiers-le-mahieu","VILLIERS-LE-MAHIEU",78770,78,ambiguous_postal,0,"Ambiguous: 6 cities with postal code 78770"